contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,type,gex,timestamp,current_price
QQQ241112C00415000,2024-11-12 14:30:00+00:00,415.0,98.64,98.39,99.38,-0.94999695,-0.953908,1.0,6,2.181645170898437,True,REGULAR,USD,2024-11-12,call,0.7583885952995021,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00430000,2024-11-07 20:47:43+00:00,430.0,84.34,83.37,84.3,0.0,0.0,,1,1.844727338867188,True,REGULAR,USD,2024-11-12,call,0.1374046048695033,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00441000,2024-11-08 14:58:14+00:00,441.0,72.49,72.34,73.3,0.0,0.0,2.0,2,1.6142597412109376,True,REGULAR,USD,2024-11-12,call,0.6808630429315221,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00450000,2024-11-11 17:04:54+00:00,450.0,63.47,63.36,64.35,0.0,0.0,4.0,4,1.449709782714844,True,REGULAR,USD,2024-11-12,call,1.710528548946349,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00453000,2024-11-04 14:41:09+00:00,453.0,34.06,60.34,61.44,0.0,0.0,,1,1.404299853515625,True,REGULAR,USD,2024-11-12,call,0.2349268645638106,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00460000,2024-11-11 16:03:45+00:00,460.0,54.12,53.43,54.39,0.0,0.0,3.0,6,1.2695349023437497,True,REGULAR,USD,2024-11-12,call,2.564949177076908,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00461000,2024-11-12 14:43:59+00:00,461.0,52.62,52.43,53.49,-0.2100029,-0.3975069,2.0,3,1.268070065917969,True,REGULAR,USD,2024-11-12,call,1.501823501581134,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00462000,2024-11-11 14:34:40+00:00,462.0,53.35,51.34,52.39,0.0,0.0,8.0,0,1.2119180029296874,True,REGULAR,USD,2024-11-12,call,2.354714053668317,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00463000,2024-11-01 14:15:44+00:00,463.0,28.49,50.34,51.35,0.0,0.0,1.0,1,1.18359783203125,True,REGULAR,USD,2024-11-12,call,0.5986883463887085,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00464000,2024-10-31 13:58:14+00:00,464.0,27.09,49.39,50.25,0.0,0.0,,1,1.154301103515625,True,REGULAR,USD,2024-11-12,call,0.3039852883475197,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00465000,2024-11-06 19:22:12+00:00,465.0,40.57,48.4,49.26,0.0,0.0,2.0,1,1.1376996240234376,True,REGULAR,USD,2024-11-12,call,0.9446315335567352,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00469000,2024-11-08 17:34:05+00:00,469.0,44.78,44.44,45.08,0.0,0.0,1.0,2,1.0312548437500002,True,REGULAR,USD,2024-11-12,call,1.025466432035551,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00470000,2024-11-12 14:53:23+00:00,470.0,44.26,43.44,44.31,0.7099991,1.6303079,1.0,1,1.0537156689453124,True,REGULAR,USD,2024-11-12,call,0.7559827158531739,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00471000,2024-11-12 14:58:49+00:00,471.0,43.09,42.32,43.28,0.7099991,1.6753163,2.0,4,1.0063526245117185,True,REGULAR,USD,2024-11-12,call,2.24791906725502,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00472000,2024-11-06 15:10:44+00:00,472.0,30.0,41.35,42.31,0.0,0.0,1.0,1,0.9970703417968748,True,REGULAR,USD,2024-11-12,call,0.7889148567808917,2024-11-14 14:15:03.231608,508.5199890136719
