contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,type,gex,timestamp,current_price
TSLA241115C00305000,2024-11-14 19:02:06+00:00,305.0,11.0,10.7,10.85,-15.51,-58.616783,2832.0,5380,0.6191444335937502,True,REGULAR,USD,2024-11-15,call,22490.716559799082,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115C00307500,2024-11-14 19:02:40+00:00,307.5,9.4,9.3,9.45,-14.9,-61.316875,3433.0,2814,0.6555210229492189,True,REGULAR,USD,2024-11-15,call,19746.74306280765,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115C00310000,2024-11-14 19:02:51+00:00,310.0,7.85,7.7,7.8,-14.799999,-65.342155,8587.0,20223,0.6445348046875,True,REGULAR,USD,2024-11-15,call,102782.89038507205,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115C00312500,2024-11-14 19:03:04+00:00,312.5,6.5,6.45,6.55,-13.5,-67.46626,9221.0,2854,0.6569858520507813,True,REGULAR,USD,2024-11-15,call,44500.908060042675,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115C00315000,2024-11-14 19:03:16+00:00,315.0,5.35,5.3,5.4,-12.65,-70.27778,22585.0,8811,0.6623568920898439,False,REGULAR,USD,2024-11-15,call,114263.39859771563,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115C00317500,2024-11-14 19:02:52+00:00,317.5,4.3,4.2,4.25,-12.04,-73.68421,23936.0,2764,0.6528355029296876,False,REGULAR,USD,2024-11-15,call,92966.5600172478,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115C00320000,2024-11-14 19:03:07+00:00,320.0,3.47,3.45,3.5,-10.929999,-75.95552,80792.0,19744,0.6682162084960939,False,REGULAR,USD,2024-11-15,call,308760.9857732916,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115C00322500,2024-11-14 19:02:51+00:00,322.5,2.75,2.73,2.78,-10.25,-78.84615,26557.0,1975,0.6716341430664063,False,REGULAR,USD,2024-11-15,call,74958.00128588798,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115P00305000,2024-11-14 19:03:08+00:00,305.0,2.49,2.52,2.57,1.4300001,133.64487,28416.0,9696,0.6335485864257813,False,REGULAR,USD,2024-11-15,put,103610.41056055883,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115P00307500,2024-11-14 19:02:52+00:00,307.5,3.3,3.25,3.35,1.9799999,149.99998,17274.0,3923,0.6279334082031252,False,REGULAR,USD,2024-11-15,put,69007.63310736537,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115P00310000,2024-11-14 19:03:16+00:00,310.0,4.2,4.2,4.3,2.4999998,147.0588,66332.0,23105,0.6267127172851563,False,REGULAR,USD,2024-11-15,put,327194.28940857743,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115P00312500,2024-11-14 19:03:01+00:00,312.5,5.35,5.35,5.45,3.25,150.46297,24879.0,4836,0.6289099609375001,False,REGULAR,USD,2024-11-15,put,114368.69163096008,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115P00315000,2024-11-14 19:02:56+00:00,315.0,6.75,6.65,6.75,4.0699997,151.86565,78466.0,9398,0.6286658227539064,True,REGULAR,USD,2024-11-15,put,336490.6933671106,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115P00317500,2024-11-14 19:02:07+00:00,317.5,8.29,8.15,8.25,5.01,152.74393,37860.0,4933,0.6320837573242188,True,REGULAR,USD,2024-11-15,put,153133.86680564826,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115P00320000,2024-11-14 19:02:49+00:00,320.0,9.85,9.85,9.95,5.8300004,145.02489,92348.0,18814,0.64062859375,True,REGULAR,USD,2024-11-15,put,350495.73698554916,2024-11-14 13:33:21.772385,313.33990478515625
TSLA241115P00322500,2024-11-14 19:02:22+00:00,322.5,11.65,11.55,11.7,6.7299995,136.7886,20513.0,4558,0.6347692773437501,True,REGULAR,USD,2024-11-15,put,66954.21315719231,2024-11-14 13:33:21.772385,313.33990478515625
